mc_run_id,grouping,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,diet_group,age_group
209,meat50-99_female_50-59,9.711835457,29.04998148,14607.39783,25.88523515,2.11794908,0.575889794,454.2368512,550.6318724,29.02520794,4.225710364,21.73938146,3947.819981,7.135421423,1.110597411,0.207579875,248.2934597,145.1000614,7.257592372,2682,female,meat,50-59
209,meat50-99_female_60-69,9.464815207,27.19688202,15222.45922,26.41727146,2.041816917,0.577196958,439.0547714,571.0645739,29.8174403,4.030411385,20.46924344,4303.654486,7.555191585,1.049024695,0.212332705,246.6977414,157.2294299,7.309564967,1456,female,meat,60-69
209,meat50-99_female_70-79,9.673998362,28.39043305,15520.05491,26.78492757,2.122926821,0.593993118,464.605735,581.8458906,29.65978563,4.360943115,22.46990102,4783.484238,7.517723371,1.161066336,0.230139991,267.3246236,170.7074713,7.276827122,450,female,meat,70-79
209,meat50-99_male_20-29,8.674451678,21.47567753,14917.69209,26.28823372,1.801803398,0.609196121,383.253007,618.9348643,28.80407725,2.769779861,12.68900265,4745.685079,7.686835534,0.732366407,0.220648125,182.8353472,209.1924293,8.004287903,151,male,meat,20-29
209,meat50-99_male_30-39,8.993126523,23.2465825,14980.69047,27.30384615,1.930774441,0.6203236,414.0890817,609.3609428,29.64237791,3.055032362,14.71308011,4370.859853,8.097013919,0.839805454,0.223061249,196.6325447,184.9909946,8.494660403,304,male,meat,30-39
209,meat50-99_male_40-49,9.770423799,28.31833889,14280.98371,27.22209144,2.130120206,0.599785626,449.2152313,567.6949024,29.32818652,3.729812293,18.66401599,4059.731146,8.087818196,0.954584271,0.216197967,215.078088,156.7989977,7.353825842,663,male,meat,40-49
209,meat50-99_male_50-59,9.93978228,29.38625717,14127.24137,27.4970429,2.153071181,0.575081629,457.2458406,561.5948917,29.6968259,4.127166266,20.76832167,3880.645185,8.269422016,1.068325431,0.204854605,239.2918686,161.480492,7.487873186,671,male,meat,50-59
209,meat50-99_male_60-69,10.05815289,29.92796248,14738.14475,27.96893052,2.205389137,0.600704491,469.5837238,573.9564069,29.98758607,4.121952142,20.91880743,4307.912121,8.158085071,1.064713886,0.225115319,249.554904,178.5620762,7.171601055,634,male,meat,60-69
209,meat50-99_male_70-79,10.59222846,32.96700698,14803.10017,28.34399217,2.35235633,0.583865289,501.4622426,568.9928127,29.85667054,4.708348538,24.75560589,3988.17471,8.218582875,1.223836527,0.1770055,263.6436004,154.0192194,7.414273752,231,male,meat,70-79
209,vegan_female_20-29,2.227490557,4.102298542,9331.157247,8.649074165,0.15498246,0.180992586,120.8836172,284.2920504,8.359517718,0.874120611,1.37355312,4610.02488,2.927493527,0.140309666,0.111133104,86.72688695,160.0897087,3.74723143,487,female,vegan,20-29
209,vegan_female_30-39,2.383049662,4.25155156,9783.13155,8.876113968,0.174869525,0.19738432,137.8274252,298.2357887,8.693683514,0.973406073,1.421769987,4389.341473,3.084245283,0.175703219,0.139756242,102.8541127,139.5525745,3.61599546,376,female,vegan,30-39
209,vegan_female_40-49,2.414487328,4.632975561,10863.18059,9.282778601,0.175119524,0.18314076,124.2261675,329.315197,9.526991524,1.00520212,2.471908972,6464.780877,3.46719448,0.17245857,0.098829823,75.54525033,215.3629582,4.846170288,219,female,vegan,40-49
209,vegan_female_50-59,2.327345393,4.449223569,11442.04575,8.758215429,0.161247176,0.194079585,130.9240084,349.9546145,9.370757374,0.933234739,1.593953732,6556.156891,3.074553721,0.143574245,0.113506128,91.28024499,242.3349532,4.554988922,106,female,vegan,50-59
